Student_ID,Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,B_or_Higher,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S2201,1,19,51.13,43.05,45.37,93.65,96.03,4.81,87.36,0,13.6,0,1,1,Medium,9,7.8
S2202,0,22,57.38,76.56,79.67,90.39,75.01,6.6,56.04,0,7.3,0,1,1,Medium,5,4.9
S2203,0,19,51.32,76.84,78.07,82.61,61.34,7.61,89.8,0,14.0,0,1,2,Medium,4,6.1
S2204,1,23,99.5,69.98,86.17,92.04,50.14,4.81,58.06,1,13.1,0,1,3,Low,3,7.6
S2207,1,22,99.79,70.98,79.01,79.53,81.56,0.6,94.61,1,15.4,0,1,3,Low,8,4.9
S2209,1,19,51.66,56.95,80.66,58.43,54.4,3.01,93.8,0,8.9,0,1,4,High,2,8.5
S2213,0,23,80.31,99.77,86.46,98.63,72.9,0.52,62.96,0,17.7,0,1,1,Low,4,5.1
S2216,1,21,76.74,76.18,82.56,65.24,56.63,0.46,69.61,0,28.6,0,0,1,Medium,7,4.5
S2220,0,19,61.49,94.25,76.08,95.79,76.43,1.03,83.48,1,10.9,0,1,3,Medium,9,4.2
S2221,0,22,55.37,54.12,64.53,61.82,71.49,9.26,52.31,0,20.5,0,1,1,Medium,5,6.7
S2222,1,23,56.98,50.52,94.14,63.29,89.92,0.87,60.15,0,11.1,0,1,1,High,2,4.6
S2223,0,21,75.63,81.77,57.74,61.04,66.29,6.19,97.23,0,26.3,0,1,3,Medium,6,5.3
S2224,1,21,66.06,98.62,40.55,67.51,78.41,2.48,97.68,0,20.7,0,1,1,Medium,7,6.5
S2225,1,19,,85.0,51.8,90.24,53.72,8.27,74.13,1,12.5,0,1,4,Low,2,5.7
S2227,1,19,57.84,65.2,59.14,89.3,84.76,9.53,71.08,0,14.4,1,1,2,Low,2,8.8
S2229,0,20,54.94,91.13,79.09,62.89,94.22,2.41,53.51,0,20.7,0,1,1,High,3,9.0
S2230,0,19,65.92,86.28,50.14,61.4,87.9,4.64,56.39,0,10.0,1,1,2,Medium,10,5.9
S2231,1,23,,75.34,87.33,50.45,92.22,7.56,94.78,1,12.3,0,1,3,Low,4,5.5
S2233,0,24,69.56,96.28,70.76,92.36,67.17,4.28,54.17,0,14.4,1,1,3,High,3,8.4
S2234,0,24,53.25,79.2,61.73,88.41,97.22,7.57,56.96,0,6.6,0,0,2,Medium,4,5.9
S2236,1,22,,74.81,59.1,88.11,77.42,5.71,74.51,0,21.1,0,1,3,Medium,6,7.4
S2237,1,19,61.5,89.27,45.65,52.29,68.33,6.91,58.15,1,9.1,0,1,2,High,2,4.3
S2239,1,24,53.37,60.24,82.92,72.02,66.17,4.42,92.26,0,6.7,0,1,1,High,2,6.4
S2241,0,23,80.47,41.32,51.28,90.81,81.97,4.74,79.05,1,23.0,0,1,2,Medium,1,8.9
S2245,1,24,68.36,78.89,61.97,64.28,64.76,1.3,65.79,0,17.8,1,1,3,High,9,7.8
S2246,1,22,,73.73,90.57,56.18,96.57,2.44,80.09,0,27.7,1,1,1,Medium,4,4.6
S2248,1,21,73.75,91.97,52.34,86.43,90.79,9.83,69.76,1,15.5,1,1,2,Low,6,7.0
S2249,1,24,69.42,76.18,74.62,62.07,99.38,2.36,55.38,0,5.2,0,1,1,High,8,5.5
S2250,0,23,67.13,88.95,40.32,91.77,76.54,3.67,98.47,1,22.8,0,1,4,Medium,5,8.1
S2251,1,19,51.09,58.74,82.78,73.48,78.46,2.75,58.73,0,6.2,1,1,4,Low,3,4.2
S2252,1,23,68.0,53.72,64.86,66.15,91.81,0.4,81.66,1,12.0,0,1,2,Low,9,7.3
S2254,0,21,84.52,80.66,85.13,,70.34,0.98,84.42,1,7.5,1,1,1,Low,9,4.4
S2255,1,24,57.27,51.23,88.64,75.84,80.74,3.94,54.74,0,22.0,0,1,1,High,2,5.8
S2256,0,20,79.56,80.82,46.67,50.36,82.88,9.67,61.48,0,13.0,0,1,1,High,8,5.8
S2257,0,18,94.61,63.65,42.46,96.12,87.54,6.98,82.35,1,14.0,0,1,2,High,6,7.0
S2258,1,24,85.0,87.73,60.04,53.3,83.41,7.07,64.15,0,21.2,0,1,4,Low,9,6.8
S2259,1,19,57.43,42.21,77.56,96.93,87.29,4.53,76.64,0,15.0,0,1,4,Low,5,7.4
S2260,0,18,,80.08,87.61,,83.73,8.11,56.23,0,10.6,0,1,3,Low,4,4.9
S2263,0,22,76.31,82.8,87.99,75.29,89.27,0.99,51.76,0,23.8,1,1,4,High,4,5.1
S2264,1,20,,87.78,71.73,53.64,51.54,8.8,55.59,0,9.9,1,1,4,High,8,6.4
S2265,1,23,96.58,94.28,76.67,61.94,99.63,2.25,60.75,1,13.0,0,1,1,Low,10,6.4
S2267,0,24,50.4,57.41,92.83,,83.55,3.45,54.77,0,29.6,0,1,4,Low,1,8.5
S2268,0,19,96.09,92.19,54.13,76.46,98.33,6.75,64.07,1,19.6,0,1,3,Medium,2,4.3
S2270,1,24,63.29,65.47,47.68,53.0,52.82,1.09,93.31,1,23.7,1,1,4,Medium,8,4.3
S2275,1,22,96.72,59.52,95.61,74.29,88.73,5.16,51.26,1,12.3,0,1,4,Low,3,6.9
S2276,1,24,62.03,65.3,98.32,,75.15,0.69,52.5,0,12.9,0,1,1,Medium,6,4.8
S2277,0,23,63.7,46.57,48.54,55.55,73.73,1.51,79.52,0,13.7,0,1,3,Low,1,8.8
S2278,1,22,96.04,54.85,93.48,84.96,65.1,9.94,83.52,1,16.6,0,1,1,Medium,7,4.1
S2279,1,19,,92.95,59.72,53.18,76.99,8.71,81.03,0,17.5,0,1,2,Medium,5,5.7
S2280,0,20,80.48,61.65,40.76,93.3,62.42,1.33,77.07,0,17.1,1,1,2,Medium,4,8.0
S2281,0,18,84.09,77.23,63.48,65.57,63.05,5.8,58.73,1,9.1,0,1,3,Low,8,8.3
S2282,0,24,75.28,79.96,70.55,54.43,87.86,3.79,92.05,0,21.2,0,1,1,Medium,8,8.0
S2285,0,22,92.63,58.29,89.17,65.33,67.18,0.48,69.24,1,26.0,1,1,3,Medium,10,7.8
S2287,1,22,70.04,61.89,61.16,51.07,90.7,1.26,94.71,0,19.2,1,1,1,Medium,3,7.4
S2289,0,22,77.26,90.1,95.39,68.29,87.31,9.07,86.09,1,8.7,0,1,4,Low,10,4.3
S2294,0,19,96.63,53.42,45.76,81.56,75.49,7.29,62.04,1,7.4,0,1,3,Low,8,6.7
S2295,1,22,,86.34,64.69,70.94,83.89,2.73,82.38,0,22.1,0,1,4,Medium,3,7.4
S2296,0,23,78.06,67.39,64.41,69.5,61.86,8.66,97.73,1,22.2,0,1,1,Medium,4,5.3
S2297,1,19,79.8,46.45,93.3,,66.18,8.14,81.12,1,16.3,0,1,2,Low,1,7.0
S2299,1,22,91.92,64.14,78.69,88.06,89.88,4.73,67.19,1,25.0,0,1,4,Medium,3,8.2
S2300,0,18,59.26,84.96,48.06,62.31,58.56,2.65,95.75,0,9.9,0,1,4,Low,8,6.8
S2301,1,21,77.74,44.38,97.24,93.13,80.42,2.89,55.63,0,21.2,0,1,4,Medium,1,5.5
S2302,1,21,86.11,79.57,75.58,79.45,52.57,9.81,67.94,1,22.3,0,1,4,High,1,6.6
S2303,0,18,95.2,82.96,77.58,73.93,77.48,8.89,74.72,1,9.9,1,1,3,Low,6,4.5
S2306,1,23,,50.69,52.76,82.03,55.65,1.09,96.21,0,8.9,0,1,1,High,1,6.6
S2307,1,21,69.71,75.23,76.24,54.49,67.34,9.89,95.17,0,12.9,1,1,1,Medium,3,5.5
S2308,1,19,73.41,96.47,97.27,72.98,67.19,9.07,89.97,0,28.5,1,1,4,Medium,4,6.0
S2309,0,23,95.31,76.65,61.59,99.67,91.32,5.52,55.72,1,6.8,1,1,4,Medium,9,8.5
S2310,1,21,96.54,76.68,92.99,85.83,61.28,6.93,53.91,1,10.7,0,1,2,High,8,8.1
S2312,0,20,56.92,59.99,96.17,76.65,80.18,2.04,88.27,0,29.2,0,1,4,Medium,10,6.8
S2313,1,24,,82.03,61.03,,84.37,9.35,56.16,0,11.4,1,1,1,Low,7,6.0
S2314,1,19,97.42,94.97,62.78,97.87,64.74,5.27,82.07,1,25.4,0,1,1,Low,9,4.7
S2316,0,23,75.93,92.21,83.09,84.12,88.8,3.97,86.3,0,13.8,0,1,2,Medium,10,4.9
S2317,0,19,88.95,53.12,83.18,54.95,67.38,6.02,71.77,1,29.9,0,1,4,Low,8,5.3
S2318,1,18,78.1,67.36,68.78,60.39,76.27,3.53,84.66,0,25.4,0,1,4,Low,5,7.8
S2319,1,22,99.67,91.14,71.39,59.2,57.33,6.99,57.98,1,11.2,0,0,4,Low,9,5.8
S2323,0,18,74.71,66.83,73.52,77.26,63.95,5.12,99.28,0,13.4,1,1,4,High,3,6.5
S2324,0,22,92.85,79.38,73.5,50.88,98.66,2.54,52.31,1,14.5,0,1,4,Medium,2,4.3
S2325,0,21,77.31,63.43,82.59,87.2,86.41,4.55,74.79,1,15.8,0,1,1,High,7,6.4
S2326,1,24,70.58,61.04,83.02,59.44,79.26,2.93,66.25,0,29.8,0,1,4,High,3,6.3
S2328,1,22,69.67,84.58,86.21,67.75,85.5,9.07,99.5,0,15.7,0,1,2,Medium,9,6.2
S2329,1,21,86.7,70.09,41.18,66.93,88.17,1.56,61.76,1,6.6,0,0,1,Medium,4,7.1
S2331,1,24,62.58,84.71,46.12,99.39,70.64,7.03,87.48,1,6.3,0,1,3,Medium,6,6.3
S2332,1,20,67.76,41.23,83.78,80.6,64.76,9.75,94.48,0,24.2,0,1,1,Low,3,5.3
S2333,0,18,,77.81,71.63,71.14,53.53,4.63,83.18,1,26.7,0,1,1,High,1,8.5
S2334,0,20,84.54,66.19,66.24,54.83,70.63,7.22,93.24,1,29.3,1,1,3,Low,8,8.5
S2335,1,23,98.01,67.4,81.44,84.96,80.81,5.18,53.16,1,8.0,0,1,3,Medium,10,8.5
S2337,0,20,80.85,72.86,53.41,99.41,65.25,0.47,85.01,0,15.3,0,1,1,Medium,6,5.6
S2338,1,20,77.67,93.14,76.99,97.53,81.96,1.22,59.52,0,20.8,1,1,2,High,2,8.6
S2339,1,24,54.42,82.77,90.83,86.76,78.97,2.96,88.9,0,5.0,0,1,4,Medium,4,4.6
S2340,1,21,,73.17,62.87,98.55,93.44,2.59,97.21,0,14.3,0,1,3,Medium,8,7.3
S2342,0,19,83.07,42.3,71.12,,98.28,7.16,62.25,0,17.6,0,1,3,Medium,6,7.6
S2344,1,23,89.2,45.0,65.21,53.6,84.92,3.1,74.98,1,22.3,0,1,4,High,8,6.0
S2345,1,23,89.05,66.25,92.6,98.61,93.03,9.38,57.92,1,19.9,0,1,4,Medium,3,4.8
S2346,0,18,,54.13,71.41,53.0,92.0,6.13,97.7,0,10.3,1,1,3,Medium,9,7.7
S2347,1,24,99.5,99.06,42.15,92.83,85.94,4.95,58.08,1,29.6,1,1,4,Low,6,4.3
S2348,1,22,79.06,72.54,53.38,88.41,75.01,6.68,88.07,1,5.1,0,1,4,Medium,3,4.1
S2349,1,18,55.44,79.74,67.04,68.79,63.66,7.03,67.07,0,13.4,1,1,2,Medium,2,8.4
S2350,1,23,,56.73,81.86,50.94,93.86,1.72,78.69,1,11.5,0,0,3,Low,8,8.1
S2354,1,20,53.36,68.42,71.95,72.9,65.74,9.12,83.86,0,6.2,0,1,2,Low,2,4.3
S2355,1,19,86.55,71.06,41.14,79.26,71.24,6.85,88.88,1,26.6,1,1,3,Low,7,5.1
S2356,0,24,,75.52,93.09,,91.92,7.12,51.51,0,11.6,1,1,4,Medium,4,7.6
S2357,1,21,68.44,86.13,87.33,68.87,94.64,9.46,57.62,0,7.8,0,1,2,Medium,6,5.3
S2359,1,18,,86.61,95.99,90.0,84.32,8.27,90.65,1,27.5,0,1,3,Low,9,6.2
S2360,1,21,66.05,73.79,58.95,66.63,53.89,7.67,61.83,0,5.9,0,1,2,Medium,4,7.6
S2361,1,22,63.27,80.15,81.53,64.34,70.48,1.11,61.48,1,20.6,0,1,2,Medium,3,5.1
S2362,1,21,82.62,59.65,89.14,88.22,74.33,8.3,54.4,0,13.3,0,1,2,Medium,2,6.1
S2363,1,24,77.95,64.56,84.45,96.71,88.28,2.53,57.51,1,20.6,0,1,1,Medium,4,6.6
S2365,0,21,82.07,98.76,91.86,56.87,66.86,4.05,79.49,0,29.2,0,1,2,High,3,6.4
S2366,1,19,,69.82,99.68,,76.39,3.46,95.19,0,7.8,0,1,1,High,1,8.3
S2368,0,21,61.47,69.39,58.29,98.05,66.43,8.55,87.57,0,6.1,0,1,1,Low,6,6.5
S2369,0,18,57.94,53.19,78.17,60.76,99.28,7.69,78.68,0,24.9,0,1,4,Low,1,4.6
S2371,1,19,85.39,42.38,72.08,94.44,64.82,6.64,89.91,1,11.9,1,1,2,Low,6,4.3
S2372,0,24,59.13,94.29,44.44,98.39,75.4,9.85,92.64,0,10.1,0,1,2,Medium,5,7.8
S2373,1,19,55.81,89.11,90.5,84.88,61.54,3.98,81.96,0,13.8,0,1,2,Medium,1,7.5
S2377,0,21,,99.8,41.16,78.62,93.51,3.52,95.63,1,26.0,0,1,1,High,7,7.6
S2378,1,19,56.21,56.68,54.24,56.63,79.69,9.86,86.72,0,15.4,0,1,3,Low,6,8.6
S2379,0,19,,86.78,82.0,58.59,99.48,3.05,54.54,0,25.0,0,1,1,High,4,6.3
S2380,1,19,50.94,74.88,94.7,93.21,51.28,1.09,93.35,0,24.4,0,1,1,Medium,3,7.8
S2383,1,19,73.76,99.91,81.73,68.65,56.64,6.5,81.17,1,17.5,0,0,1,Medium,9,4.1
S2386,1,20,52.27,70.22,82.91,66.49,75.92,5.62,62.74,0,29.7,0,1,4,Medium,2,8.4
S2387,1,24,68.08,82.67,90.26,83.74,70.06,8.39,97.99,0,9.0,0,0,3,Medium,7,9.0
S2388,1,23,87.82,86.46,67.15,58.63,95.27,8.39,97.51,1,17.1,0,1,1,High,8,7.2
S2389,0,18,68.45,40.03,84.87,56.09,54.67,7.26,50.21,0,12.6,1,1,2,Low,9,4.4
S2392,0,19,,92.49,51.24,83.42,80.43,0.08,92.51,0,20.8,0,1,3,Medium,8,7.7
S2394,1,24,97.53,79.99,42.15,62.03,78.17,3.28,75.91,1,20.7,0,1,1,Medium,1,4.0
S2395,1,18,55.44,55.96,56.98,95.56,85.43,5.47,91.98,0,16.3,0,1,1,High,5,6.2
S2397,1,21,80.4,96.43,78.88,90.94,84.22,8.38,74.98,1,13.8,1,1,1,Low,8,4.4
S2398,0,19,97.45,54.43,44.41,64.3,62.8,2.32,68.19,1,19.6,0,1,4,Medium,5,4.0
S2399,0,19,99.49,45.7,57.24,96.97,91.64,5.19,63.31,1,26.2,0,0,1,Medium,6,6.3
S2400,1,21,74.21,44.16,74.17,95.72,72.48,6.59,62.97,1,29.0,1,1,1,Low,7,4.0
S2401,1,18,73.4,70.28,59.11,52.16,99.36,9.88,78.1,0,25.0,1,1,2,High,4,8.7
S2402,1,21,82.25,78.5,65.08,88.52,51.16,0.31,58.34,1,28.4,0,1,3,High,5,8.1
S2404,1,21,81.7,81.42,40.56,60.76,59.02,9.88,50.52,0,24.1,0,1,4,High,6,4.1
S2405,1,20,93.7,43.66,56.58,72.99,77.78,9.77,80.67,1,7.4,1,1,3,Low,8,6.8
S2407,0,19,74.84,88.99,47.66,,86.87,0.0,94.46,1,5.3,0,1,3,Low,4,6.9
S2409,0,22,81.98,96.19,62.59,58.53,60.54,8.67,89.28,0,21.6,0,1,2,High,3,8.2
S2410,0,18,72.79,61.37,71.63,51.12,58.03,3.24,70.84,1,9.3,0,1,2,Low,5,5.8
S2412,1,21,50.82,84.76,42.85,75.87,68.06,3.33,68.43,0,6.5,0,0,4,Low,1,6.3
S2413,1,22,58.7,48.04,54.46,,71.73,6.1,54.07,0,23.7,0,1,1,Low,3,8.6
S2414,1,19,74.43,58.84,89.93,82.49,61.05,7.22,81.69,1,16.2,0,1,1,High,6,7.1
S2416,0,23,63.94,67.29,62.38,72.97,61.57,3.52,88.14,1,14.1,0,1,4,Medium,7,6.5
S2421,1,18,92.73,41.2,55.45,84.47,75.28,6.77,74.94,1,6.3,0,0,3,High,2,4.8
S2423,1,20,85.99,53.3,43.13,57.44,96.72,9.36,54.52,1,25.6,1,0,4,Medium,2,4.0
S2428,1,20,78.39,71.01,66.41,73.86,51.39,1.35,85.11,1,19.4,1,1,1,Low,8,9.0
S2429,0,18,91.76,91.28,82.53,79.92,76.3,8.94,65.03,1,12.9,0,0,3,High,8,5.0
S2430,1,22,59.63,83.94,43.49,51.47,66.86,0.42,62.42,0,11.1,0,1,4,Medium,4,4.7
S2432,1,21,53.07,52.55,62.24,85.82,58.57,6.15,86.68,0,26.3,0,1,3,Low,2,6.6
S2433,1,24,95.95,58.71,51.7,71.27,89.7,2.08,57.44,1,12.0,0,1,4,Low,1,5.6
S2436,1,21,74.54,99.06,57.24,83.61,98.48,2.72,64.71,0,29.8,0,1,3,High,3,8.5
S2437,0,23,72.4,70.88,82.29,65.85,90.13,8.82,64.38,0,16.6,1,0,2,Medium,3,8.8
S2438,1,20,98.67,84.51,62.5,61.47,81.53,8.56,98.8,1,10.7,0,1,3,Low,10,6.6
S2439,0,18,99.52,80.98,47.93,69.0,84.86,0.64,87.51,1,10.8,0,1,2,High,1,5.2
S2440,1,22,82.51,90.99,54.23,,99.57,2.89,89.0,1,24.9,0,1,4,Medium,1,6.8
S2443,0,22,76.46,92.88,56.36,,53.24,9.96,52.91,0,9.9,0,1,3,Medium,3,8.6
S2444,0,19,75.72,50.29,52.5,60.94,83.33,2.57,77.65,0,8.3,1,1,3,High,4,5.1
S2447,0,22,85.56,86.85,89.55,77.4,55.44,1.36,52.48,1,13.9,1,1,4,Low,2,8.6
S2448,1,20,85.62,56.96,82.95,79.2,97.25,2.55,93.79,1,23.9,0,0,4,Low,7,4.9
S2449,1,18,55.77,73.84,78.74,60.81,77.56,6.75,80.01,0,27.1,0,1,4,High,8,5.1
S2450,1,18,78.51,64.26,94.99,69.58,82.48,3.37,55.37,0,20.0,1,1,4,Low,3,7.7
S2451,0,24,78.42,69.4,43.5,91.36,51.74,6.04,88.32,1,15.6,0,1,1,Low,6,8.7
S2452,1,18,84.12,61.31,50.05,57.42,98.05,2.06,87.79,0,6.0,1,1,1,Medium,10,4.5
S2453,1,23,54.27,56.76,64.86,,78.13,4.49,64.47,0,13.4,0,1,4,Low,8,6.6
S2454,0,19,81.33,80.49,62.35,96.64,78.17,5.12,59.42,0,13.0,1,0,3,Low,10,8.6
S2456,0,19,75.35,92.44,52.39,86.26,96.47,1.98,66.48,0,24.1,1,0,1,Medium,10,8.7
S2457,0,18,88.67,49.32,48.97,91.34,61.01,4.62,92.37,1,22.8,0,1,1,Low,6,8.5
S2460,1,22,79.56,65.64,63.52,87.93,50.95,7.9,58.98,0,20.1,1,0,3,High,2,8.5
S2462,0,18,57.84,67.27,82.37,53.01,70.65,2.73,99.86,0,29.3,0,1,2,Medium,7,5.9
S2463,0,22,92.65,51.82,57.47,66.12,79.14,0.79,70.63,1,15.2,0,0,2,High,1,7.6
S2465,0,18,88.7,68.38,59.46,91.45,60.51,2.51,65.88,1,13.8,0,0,2,Low,3,6.9
S2467,1,21,64.39,99.83,89.13,96.3,92.29,2.14,88.29,1,22.2,0,0,4,Low,7,6.8
S2468,0,21,95.3,87.24,75.28,,81.75,2.31,61.61,1,28.5,0,1,4,Low,1,8.6
S2469,0,24,,92.62,59.35,89.04,96.05,3.01,97.68,0,6.5,1,1,2,High,9,7.9
S2470,0,21,53.15,84.87,58.63,83.32,90.65,1.26,81.11,0,25.6,0,1,1,Medium,4,7.3
S2473,1,18,89.83,95.8,78.29,78.66,97.66,2.36,72.56,1,22.8,0,1,1,Medium,3,7.6
S2475,0,23,93.74,95.3,79.74,67.54,98.93,0.68,67.21,1,23.2,1,1,1,Low,7,5.1
S2476,1,20,89.24,44.54,66.83,84.39,51.25,5.0,93.75,1,15.9,0,0,4,Low,5,8.7
S2477,0,21,55.61,82.91,98.35,73.18,76.11,8.42,90.6,0,9.1,0,1,2,Medium,10,6.8
S2481,0,23,98.62,62.95,69.13,73.07,76.47,5.92,77.43,1,22.1,1,1,3,High,8,8.5
S2482,0,18,86.79,73.43,51.22,97.55,82.55,8.78,95.38,1,23.0,1,0,2,Medium,7,7.6
S2484,1,24,94.0,51.76,72.84,60.29,74.73,0.57,99.17,1,15.7,1,1,2,Medium,2,4.4
S2486,1,24,57.03,53.32,78.8,96.39,92.32,6.71,97.46,0,14.4,0,1,4,Low,5,4.7
S2487,1,21,86.72,72.93,78.1,56.18,65.64,9.52,60.62,1,29.5,0,1,2,Medium,9,5.7
S2488,0,23,93.25,94.37,48.65,62.7,76.16,8.05,71.53,1,16.2,0,1,1,Medium,10,4.9
S2489,1,23,76.82,94.76,60.94,63.11,50.42,1.77,54.88,0,28.1,0,1,2,High,5,5.6
S2490,1,20,,43.29,75.15,78.55,84.37,2.79,56.85,1,22.6,1,1,1,Low,10,8.7
S2492,0,22,67.14,54.71,91.16,53.99,74.05,4.71,97.58,0,9.8,0,0,1,Low,9,4.7
S2493,0,23,66.33,55.3,41.65,81.46,60.51,5.47,83.36,1,14.2,0,1,3,High,2,7.3
S2494,0,19,,45.69,46.17,54.95,51.18,6.09,65.73,1,23.3,1,1,4,Low,2,4.2
S2495,1,20,80.44,63.31,46.97,80.32,74.16,1.03,97.73,1,21.4,0,1,1,Medium,6,8.9
S2496,1,23,95.02,75.26,71.69,75.35,71.24,8.56,86.99,1,26.6,0,1,4,High,3,6.7
S2499,1,20,91.93,60.32,57.32,81.96,97.36,6.27,87.54,1,6.0,1,1,2,High,3,6.3
S2500,0,21,87.09,82.39,88.56,71.57,50.18,6.6,62.16,1,12.5,0,1,1,Medium,8,6.6
S2502,0,22,58.28,60.78,56.82,79.82,86.85,1.13,66.25,0,29.5,0,1,1,Low,6,4.2
S2503,1,19,57.21,45.13,42.35,80.31,58.6,0.21,83.59,0,29.7,0,1,3,Medium,10,5.7
S2504,0,18,,57.78,40.83,50.75,73.61,9.13,92.24,0,16.0,0,0,4,Medium,5,5.9
S2505,0,18,80.72,48.24,61.2,56.26,99.44,3.46,58.76,0,24.1,0,1,1,Medium,7,4.7
S2508,1,20,59.02,67.77,89.26,78.84,72.88,0.76,62.21,0,23.3,1,1,2,Low,2,8.1
S2509,1,20,73.98,53.26,49.78,87.88,73.41,0.85,50.59,0,18.7,0,1,4,Medium,10,7.4
S2511,0,20,71.64,41.65,80.5,92.66,95.81,5.09,56.79,1,19.6,0,1,4,Low,10,5.5
S2512,1,20,,73.28,59.59,68.84,54.11,5.8,93.91,1,7.5,0,1,4,High,10,8.4
S2513,1,23,72.56,50.17,72.79,67.25,65.7,6.56,80.03,0,29.7,0,1,1,Low,5,8.3
S2514,1,23,,40.06,66.67,91.55,64.92,6.68,81.05,0,12.6,0,1,2,Low,9,6.2
S2515,1,22,65.18,92.15,47.7,61.88,99.8,4.33,91.43,1,29.1,0,1,2,Low,2,7.1
S2516,0,21,,80.29,94.43,73.06,77.96,6.44,75.47,1,12.3,1,1,2,Medium,8,7.0
S2520,1,21,67.73,68.4,44.79,,64.33,3.29,77.66,0,28.5,1,1,2,Low,4,8.2
S2521,0,18,52.3,65.16,52.44,,95.59,2.39,64.69,0,19.6,0,1,4,Medium,8,6.7
S2522,0,22,99.34,93.22,48.72,62.23,72.76,0.78,80.0,1,25.7,0,1,4,Medium,2,5.7
S2523,0,21,63.18,54.71,89.85,97.18,90.19,5.06,71.97,0,24.9,0,1,1,Medium,8,6.5
S2525,0,20,68.49,59.75,71.68,83.23,84.68,3.36,77.97,0,11.7,0,1,2,High,3,4.5
S2526,0,20,86.93,86.27,46.25,,70.26,9.76,96.68,1,16.8,0,1,3,High,8,7.8
S2528,0,21,78.74,90.99,88.81,94.85,70.65,8.89,94.37,0,6.6,0,1,1,Medium,5,5.6
S2529,0,20,,87.86,95.75,,77.5,5.7,76.03,1,9.6,0,1,2,Low,4,6.0
S2532,1,20,,85.06,59.86,96.2,73.24,8.85,70.01,0,9.1,0,1,1,Medium,9,6.1
S2533,1,18,,98.97,41.83,81.22,67.14,4.71,96.66,0,28.7,1,0,1,Low,4,5.9
S2534,0,18,55.99,40.42,89.68,93.46,72.04,2.43,61.16,0,9.4,1,0,3,Low,2,7.3
S2535,1,19,58.17,78.04,69.49,84.22,73.04,2.23,56.07,0,9.6,0,1,1,Medium,4,5.4
S2538,0,21,,93.03,60.73,54.55,92.41,6.38,64.23,1,5.7,1,1,3,Medium,4,5.1
S2540,0,24,58.53,96.75,86.23,70.45,83.3,1.82,76.25,0,6.9,1,1,2,Medium,10,5.1
S2543,1,20,88.41,40.66,59.27,,53.31,3.5,69.72,1,11.9,0,1,2,Low,1,4.4
S2544,0,23,70.05,72.68,40.07,94.68,91.52,4.83,83.83,1,25.4,1,1,3,Low,3,8.8
S2546,1,20,85.42,67.07,77.4,84.6,50.27,5.23,92.19,1,6.2,0,1,4,Medium,4,7.2
S2548,0,20,64.28,95.06,66.09,55.3,70.38,4.13,67.51,0,23.6,1,1,4,Medium,7,6.8
S2550,1,21,98.6,91.37,70.23,94.06,68.12,9.98,94.29,1,12.8,0,1,2,High,5,7.9
S2551,0,19,85.87,94.17,63.07,87.39,95.83,5.32,89.52,1,20.8,0,0,3,High,6,5.9
S2552,0,22,,69.97,49.68,96.37,68.05,3.36,79.2,1,21.6,0,1,4,Low,7,7.1
S2553,0,23,50.66,66.82,89.24,77.65,70.94,7.14,99.19,0,19.1,0,0,3,Medium,9,5.0
S2557,1,21,78.37,46.15,65.5,82.07,85.2,0.71,95.4,1,15.6,0,1,4,Medium,9,6.1
S2558,0,22,71.45,55.89,88.68,68.65,74.13,6.06,99.38,1,22.1,0,1,2,Low,2,4.3
S2559,1,23,50.88,47.86,95.13,81.82,56.69,4.78,74.78,0,9.6,0,0,4,Low,2,8.6
S2560,0,19,61.8,57.68,76.03,86.0,63.24,3.18,59.78,0,12.4,0,1,4,Low,5,4.5
S2562,0,21,55.59,78.26,43.4,75.73,68.01,6.56,92.69,0,25.4,0,1,4,Low,3,7.6
S2563,0,22,81.58,97.27,73.62,65.01,62.77,7.59,91.81,0,13.4,0,1,2,High,10,4.2
S2566,1,22,,87.05,75.61,50.35,86.62,3.45,75.49,1,12.1,0,1,4,Medium,1,6.6
S2571,1,21,51.25,94.32,89.37,97.59,93.04,9.94,82.29,0,5.3,0,1,2,Low,9,5.8
S2572,1,24,72.41,67.11,91.03,,57.66,9.71,55.07,0,19.6,1,1,1,Low,4,6.3
S2573,0,24,80.54,40.54,78.5,73.09,62.55,7.72,93.04,1,13.3,0,1,2,Low,3,6.0
S2578,0,23,63.3,71.04,50.76,64.92,98.77,4.31,99.27,0,28.7,0,1,2,Low,1,8.9
S2579,1,20,61.32,81.11,54.2,68.56,67.35,0.36,89.81,0,7.0,0,0,4,High,5,5.3
S2580,0,19,97.87,94.88,63.68,53.91,70.95,4.53,89.45,1,28.5,1,1,2,High,10,5.8
S2581,0,21,72.93,72.47,58.87,59.9,50.32,4.8,57.67,0,14.8,1,1,2,Medium,8,8.9
S2582,0,23,,70.19,59.3,66.77,85.97,6.66,50.89,0,24.8,1,1,2,Medium,8,4.2
S2583,1,20,85.35,57.44,50.16,89.79,70.68,5.16,79.27,1,13.9,0,1,3,Medium,10,7.2
S2584,0,20,,58.31,57.63,,55.16,8.62,57.21,1,15.4,0,1,4,Medium,3,4.5
S2585,1,18,63.36,87.79,41.18,67.33,98.43,3.68,89.02,0,15.9,0,1,1,Medium,4,8.7
